Ciudad_Municipio;ESTRATO;Municipio_Origen;Municipio_Destino;Motivo_Viaje
Barbosa;2;Barbosa;Barbosa;Acompañar a alguien
La Estrella;2;La Estrella;Sabaneta;Al Trabajo
La Estrella;3;La Estrella;Itagui;Al Trabajo
La Estrella;2;La Estrella;Medellin;Estudio
Girardota;1;Girardota;Girardota;Recoger o dejar a alguien
Barbosa;1;Barbosa;Barbosa;Estudio
Barbosa;1;Barbosa;Medellin;Compras
Barbosa;1;Barbosa;Barbosa;Acompañar a alguien
Girardota;2;Girardota;Barbosa;Recreación
Itagui;2;Itagui;Caldas;Recoger o dejar a alguien
Caldas;2;Caldas;Itagui;Regreso a casa
Girardota;2;Girardota;Itagui;Al Trabajo
Itagui;2;Itagui;Barbosa;Diligencia o trámite
Barbosa;2;Barbosa;Girardota;Diligencia o trámite
Girardota;2;Girardota;Barbosa;Compras
Sabaneta;1;Sabaneta;Medellin;Diligencia o trámite
Medellin;1;Medellin;Sabaneta;Regreso a casa
Caldas;1;Caldas;Caldas;Estudio
Caldas;1;Caldas;Medellin;Al Trabajo
Medellin;1;Medellin;Caldas;Regreso a casa
Caldas;1;Caldas;Municipios del Sur;Al Trabajo
Municipios del Sur;1;Municipios del Sur;Caldas;Regreso a casa
Caldas;2;Caldas;El Retiro;Al Trabajo
El Retiro;2;El Retiro;Caldas;Regreso a casa
Caldas;1;Caldas;Medellin;Otro
Caldas;2;Caldas;Medellin;Regreso a casa
Envigado;2;Envigado;Carmen de Vivoral;Estudio
Carmen de Vivoral;2;Carmen de Vivoral;Caldas;Regreso a casa
Caldas;1;Caldas;Medellin;Estudio
Medellin;1;Medellin;Caldas;Diligencia o trámite
Caldas;2;Caldas;Bello;Estudio
Bello;2;Bello;Caldas;Regreso a casa
Caldas;2;Caldas;Medellin;Salud
Sabaneta;2;Sabaneta;Itagui;Al Trabajo
Itagui;2;Itagui;Sabaneta;Regreso a casa
Barbosa;2;Barbosa;Girardota;Estudio
La Estrella;2;La Estrella;Caldas;Compras
La Estrella;2;La Estrella;Caldas;Al Trabajo
La Estrella;1;La Estrella;La Estrella;Al Trabajo
La Estrella;1;La Estrella;La Estrella;Regreso a casa
La Estrella;2;La Estrella;Municipios Occidente;Al Trabajo
Municipios Occidente;2;Municipios Occidente;La Estrella;Regreso a casa
La Estrella;2;La Estrella;Copacabana;Al Trabajo
Copacabana;2;Copacabana;La Estrella;Regreso a casa
Copacabana;2;Copacabana;Bello;Recoger o dejar a alguien
Caldas;2;Caldas;Caldas;Recreación
Caldas;1;Caldas;Itagui;Al Trabajo
Itagui;1;Itagui;Caldas;Regreso a casa
Sabaneta;2;Sabaneta;Caldas;Estudio
Barbosa;2;Barbosa;Envigado;Al Trabajo
Medellin;2;Medellin;Envigado;Compras
La Estrella;1;La Estrella;Medellin;Acompañar a alguien
La Estrella;1;La Estrella;Medellin;Al Trabajo
La Estrella;1;La Estrella;Caldas;Al Trabajo
Caldas;1;Caldas;La Estrella;Regreso a casa
La Estrella;1;La Estrella;Rionegro;Al Trabajo
Bello;4;Bello;Medellin;Recoger o dejar a alguien
Medellin;4;Medellin;Caldas;Al Trabajo
Itagui;2;Itagui;Itagui;Diligencia o trámite
Itagui;1;Itagui;Itagui;Al Trabajo
Itagui;1;Itagui;Itagui;Regreso a casa
Girardota;1;Girardota;Girardota;Estudio
Medellin;1;Medellin;Itagui;Regreso a casa
Itagui;1;Itagui;Envigado;Diligencia o trámite
Envigado;1;Envigado;Itagui;Regreso a casa
Itagui;1;Itagui;Itagui;Estudio
Bello;2;Bello;Municipios Norte;Compras
Bello;2;Bello;Municipios Norte;Acompañar a alguien
Bello;2;Bello;Municipios Norte;Recoger o dejar a alguien
Sabaneta;2;Sabaneta;Medellin;Estudio
Municipios Occidente;2;Municipios Occidente;Bello;Regreso a casa
Barbosa;2;Barbosa;Yarumal;Al Trabajo
Yarumal;2;Yarumal;Barbosa;Regreso a casa
Itagui;2;Itagui;La Estrella;Al Trabajo
La Estrella;2;La Estrella;Medellin;Recoger o dejar a alguien
Itagui;2;Itagui;Itagui;Salud
Barbosa;2;Barbosa;Medellin;Compras
Sabaneta;2;Sabaneta;Sabaneta;Diligencia o trámite
Sabaneta;2;Sabaneta;Medellin;Diligencia o trámite
Sabaneta;2;Sabaneta;Sabaneta;Acompañar a alguien
Sabaneta;2;Sabaneta;Sabaneta;Compras
Caldas;1;Caldas;Caldas;Recreación
Caldas;2;Caldas;Caldas;Diligencia o trámite
Sabaneta;2;Sabaneta;Envigado;Estudio
Sabaneta;2;Sabaneta;La Estrella;Al Trabajo
La Estrella;2;La Estrella;Sabaneta;Regreso a casa
Barbosa;2;Barbosa;Medellin;Recreación
Itagui;1;Itagui;Caldas;Al Trabajo
Caldas;1;Caldas;Itagui;Regreso a casa
Itagui;1;Itagui;Envigado;Al Trabajo
Itagui;1;Itagui;Itagui;Diligencia o trámite
Medellin;3;Medellin;Guarne;Al Trabajo
Guarne;3;Guarne;Medellin;Regreso a casa
La Estrella;3;La Estrella;Envigado;Diligencia o trámite
Envigado;3;Envigado;La Estrella;Regreso a casa
La Estrella;3;La Estrella;Envigado;Acompañar a alguien
Medellin;5;Medellin;Medellin;Compras
Envigado;5;Envigado;Medellin;Otro
Medellin;2;Medellin;Rionegro;Acompañar a alguien
Medellin;2;Medellin;Rionegro;Diligencia o trámite
Envigado;4;Envigado;Rionegro;Al Trabajo
Rionegro;4;Rionegro;Envigado;Regreso a casa
Envigado;2;Envigado;Medellin;Salud
Envigado;4;Envigado;Medellin;Salud
Envigado;2;Envigado;Rionegro;Al Trabajo
Rionegro;2;Rionegro;Envigado;Regreso a casa
Envigado;5;Envigado;Medellin;Estudio
Envigado;5;Envigado;Rionegro;Al Trabajo
Rionegro;5;Rionegro;Envigado;Regreso a casa
Copacabana;2;Copacabana;Bello;Otro
Caldas;2;Caldas;Caldas;Estudio
Medellin;3;Medellin;Itagui;Recoger o dejar a alguien
La Estrella;1;La Estrella;La Estrella;Estudio
La Estrella;2;La Estrella;Itagui;Estudio
Envigado;1;Envigado;Itagui;Estudio
Itagui;1;Itagui;Envigado;Regreso a casa
Medellin;1;Medellin;Guarne;Compras
Guarne;1;Guarne;Medellin;Regreso a casa
Medellin;1;Medellin;Guarne;Diligencia o trámite
Guarne;1;Guarne;Medellin;Diligencia o trámite
Medellin;1;Medellin;Rionegro;Salud
Medellin;1;Medellin;Guarne;Estudio
Envigado;4;Envigado;Rionegro;Regreso a casa
Rionegro;4;Rionegro;Envigado;Al Trabajo
Envigado;2;Envigado;Bello;Estudio
Copacabana;1;Copacabana;Copacabana;Al Trabajo
Copacabana;1;Copacabana;Copacabana;Regreso a casa
Copacabana;1;Copacabana;Copacabana;Recoger o dejar a alguien
Copacabana;1;Copacabana;Copacabana;Estudio
Copacabana;1;Copacabana;Medellin;Al Trabajo
Medellin;1;Medellin;Copacabana;Regreso a casa
Copacabana;1;Copacabana;Medellin;Otro
Copacabana;1;Copacabana;Barbosa;Al Trabajo
Barbosa;1;Barbosa;Copacabana;Regreso a casa
Envigado;6;Envigado;Itagui;Al Trabajo
Itagui;6;Itagui;Envigado;Regreso a casa
Envigado;3;Envigado;El Retiro;Compras
El Retiro;3;El Retiro;Envigado;Regreso a casa
Envigado;3;Envigado;Envigado;Compras
Envigado;1;Envigado;Envigado;Al Trabajo
Envigado;1;Envigado;Envigado;Regreso a casa
Copacabana;1;Copacabana;Copacabana;Recreación
Copacabana;1;Copacabana;Bello;Recreación
Bello;1;Bello;Copacabana;Regreso a casa
Envigado;3;Envigado;Envigado;Diligencia o trámite
Envigado;5;Envigado;Sabaneta;Compras
Envigado;6;Envigado;Medellin;Recreación
Medellin;6;Medellin;Envigado;Regreso a casa
Sabaneta;3;Sabaneta;Envigado;Compras
Envigado;3;Envigado;La Estrella;Al Trabajo
La Estrella;3;La Estrella;Envigado;Compras
Medellin;3;Medellin;Envigado;Compras
Envigado;5;Envigado;Bello;Al Trabajo
Bello;5;Bello;Envigado;Regreso a casa
Envigado;5;Envigado;La Estrella;Al Trabajo
La Estrella;5;La Estrella;Envigado;Regreso a casa
Envigado;3;Envigado;La Ceja;Al Trabajo
La Ceja;3;La Ceja;Envigado;Regreso a casa
Envigado;6;Envigado;Medellin;Al Trabajo
Envigado;5;Envigado;Medellin;Compras
Envigado;5;Envigado;Angostura;Al Trabajo
Angostura;5;Angostura;Envigado;Regreso a casa
Envigado;5;Envigado;Medellin;Diligencia o trámite
Itagui;5;Itagui;Envigado;Regreso a casa
Envigado;5;Envigado;Itagui;Recreación
Envigado;5;Envigado;Rionegro;Estudio
Envigado;5;Envigado;Envigado;Almuerzo
Envigado;5;Envigado;Itagui;Al Trabajo
Envigado;5;Envigado;Medellin;Salud
El Retiro;2;El Retiro;Medellin;Estudio
Envigado;2;Envigado;Caldas;Al Trabajo
Caldas;2;Caldas;Envigado;Regreso a casa
Envigado;2;Envigado;Itagui;Compras
Envigado;2;Envigado;Rionegro;Estudio
Girardota;1;Girardota;Girardota;Salud
Envigado;2;Envigado;Rionegro;Diligencia o trámite
Rionegro;2;Rionegro;Rionegro;Compras
Envigado;6;Envigado;Medellin;Estudio
Sabaneta;3;Sabaneta;Envigado;Diligencia o trámite
Envigado;3;Envigado;Sabaneta;Regreso a casa
Envigado;2;Envigado;Itagui;Estudio
Bogotá D.C.;3;Bogotá D.C.;Envigado;Regreso a casa
Medellin;4;Medellin;Envigado;Diligencia o trámite
Envigado;4;Envigado;Itagui;Compras
Envigado;4;Envigado;Sabaneta;Al Trabajo
Barbosa;4;Barbosa;Barbosa;Regreso a casa
Barbosa;4;Barbosa;Barbosa;Al Trabajo
Barbosa;4;Barbosa;Barbosa;Recoger o dejar a alguien
Barbosa;4;Barbosa;Barbosa;Estudio
Medellin;5;Medellin;Gomez Plata;Recoger o dejar a alguien
Gomez Plata;5;Gomez Plata;Medellin;Regreso a casa
Medellin;3;Medellin;Sabaneta;Estudio
Sabaneta;2;Sabaneta;Rionegro;Al Trabajo
Rionegro;2;Rionegro;Sabaneta;Regreso a casa
Caldas;2;Caldas;Caldas;Recoger o dejar a alguien
Caldas;3;Caldas;Itagui;Al Trabajo
Itagui;3;Itagui;Caldas;Estudio
Medellin;3;Medellin;La Unión;Al Trabajo
La Unión;3;La Unión;Medellin;Regreso a casa
Medellin;2;Medellin;La Pintada;Recreación
La Pintada;2;La Pintada;Medellin;Regreso a casa
Caldas;1;Caldas;Envigado;Diligencia o trámite
Envigado;1;Envigado;Itagui;Diligencia o trámite
Medellin;5;Medellin;Municipios Occidente;Al Trabajo
Municipios Occidente;5;Municipios Occidente;Medellin;Regreso a casa
Medellin;5;Medellin;Medellin;Otro
Medellin;5;Medellin;Bello;Al Trabajo
Bello;5;Bello;Medellin;Regreso a casa
La Estrella;3;La Estrella;Medellin;Salud
Medellin;5;Medellin;Medellin;Acompañar a alguien
Medellin;5;Medellin;Sabaneta;Al Trabajo
Medellin;5;Medellin;Itagui;Diligencia o trámite
Medellin;5;Medellin;Rionegro;Diligencia o trámite
Rionegro;5;Rionegro;Medellin;Regreso a casa
Chigorodo;2;Chigorodo;Medellin;Regreso a casa
Sabaneta;4;Sabaneta;Sabaneta;Al Trabajo
Medellin;4;Medellin;Sabaneta;Regreso a casa
Medellin;3;Medellin;Municipios Occidente;Al Trabajo
Municipios Occidente;3;Municipios Occidente;Medellin;Regreso a casa
Envigado;6;Envigado;Envigado;Al Trabajo
Envigado;6;Envigado;Envigado;Regreso a casa
Caucasia;3;Caucasia;Medellin;Regreso a casa
Medellin;4;Medellin;Medellin;Acompañar a alguien
Medellin;4;Medellin;Itagui;Acompañar a alguien
Itagui;4;Itagui;Medellin;Acompañar a alguien
Envigado;4;Envigado;Medellin;Recoger o dejar a alguien
Medellin;3;Medellin;Itagui;Estudio
Envigado;2;Envigado;Itagui;Almuerzo
Itagui;2;Itagui;Itagui;Compras
Itagui;2;Itagui;Envigado;Diligencia o trámite
Medellin;2;Medellin;Itagui;Almuerzo
Medellin;2;Medellin;Rionegro;Salud
Rionegro;2;Rionegro;Medellin;Otro
Bello;3;Bello;Envigado;Regreso a casa
Medellin;5;Medellin;Medellin;Almuerzo
Envigado;4;Envigado;Barbosa;Al Trabajo
Barbosa;4;Barbosa;Envigado;Regreso a casa
Envigado;4;Envigado;Envigado;Salud
Sabaneta;3;Sabaneta;Envigado;Al Trabajo
Medellin;3;Medellin;Envigado;Salud
Envigado;2;Envigado;Girardota;Al Trabajo
Girardota;2;Girardota;Envigado;Regreso a casa
Envigado;2;Envigado;Caldas;Estudio
Medellin;4;Medellin;Medellin;Compras
Medellin;5;Medellin;Rionegro;Otro
Envigado;3;Envigado;Medellin;Salud
Envigado;3;Envigado;Medellin;Acompañar a alguien
La Estrella;3;La Estrella;Caldas;Al Trabajo
Caldas;3;Caldas;La Estrella;Regreso a casa
Caldas;2;Caldas;Caldas;Almuerzo
Caldas;2;Caldas;Caldas;Compras
Sabaneta;2;Sabaneta;Caldas;Recoger o dejar a alguien
Medellin;2;Medellin;Caldas;Otro
Medellin;5;Medellin;Envigado;Estudio
Envigado;5;Envigado;Medellin;Regreso a casa
Medellin;3;Medellin;Copacabana;Estudio
Medellin;3;Medellin;La Estrella;Al Trabajo
La Estrella;3;La Estrella;Medellin;Regreso a casa
Medellin;2;Medellin;Envigado;Recoger o dejar a alguien
Medellin;3;Medellin;Guarne;Otro
Medellin;5;Medellin;Medellin;Salud
Sabaneta;3;Sabaneta;Sabaneta;Estudio
La Estrella;3;La Estrella;La Estrella;Al Trabajo
Medellin;4;Medellin;Copacabana;Estudio
Municipios Norte;3;Municipios Norte;Medellin;Regreso a casa
Medellin;5;Medellin;Marinilla;Al Trabajo
Marinilla;5;Marinilla;Medellin;Regreso a casa
La Estrella;1;La Estrella;Envigado;Al Trabajo
Envigado;1;Envigado;La Estrella;Regreso a casa
Medellin;2;Medellin;Alejandria;Diligencia o trámite
Alejandria;2;Alejandria;Medellin;Regreso a casa
Medellin;3;Medellin;Yalí;Al Trabajo
Yalí;3;Yalí;Medellin;Regreso a casa
Caldas;3;Caldas;Municipios Occidente;Al Trabajo
Municipios Occidente;3;Municipios Occidente;Caldas;Regreso a casa
Caldas;3;Caldas;Sabaneta;Compras
Envigado;5;Envigado;Medellin;Recoger o dejar a alguien
Rionegro;2;Rionegro;Sabaneta;Al Trabajo
Medellin;1;Medellin;La Estrella;Al Trabajo
La Estrella;1;La Estrella;Medellin;Regreso a casa
Envigado;5;Envigado;Monteria;Al Trabajo
Medellin;6;Medellin;Medellin;Almuerzo
Copacabana;6;Copacabana;Envigado;Diligencia o trámite
Copacabana;6;Copacabana;Girardota;Al Trabajo
Girardota;6;Girardota;Copacabana;Regreso a casa
Medellin;1;Medellin;Medellin;Recreación
Medellin;2;Medellin;Bello;Diligencia o trámite
Medellin;2;Medellin;Municipios Norte;Al Trabajo
Municipios Norte;2;Municipios Norte;Medellin;Regreso a casa
Medellin;1;Medellin;Caldas;Al Trabajo
Medellin;2;Medellin;Sabaneta;Estudio
Envigado;5;Envigado;Envigado;Recreación
Envigado;6;Envigado;Envigado;Estudio
Bogotá D.C.;4;Bogotá D.C.;Medellin;Regreso a casa
Itagui;4;Itagui;Itagui;Al Trabajo
Rionegro;4;Rionegro;Medellin;Al Trabajo
Medellin;4;Medellin;Bello;Otro
Sabaneta;3;Sabaneta;Caldas;Al Trabajo
Caldas;3;Caldas;Sabaneta;Regreso a casa
Medellin;4;Medellin;Girardota;Recoger o dejar a alguien
Medellin;2;Medellin;Itagui;Salud
Medellin;3;Medellin;La Estrella;Recreación
Envigado;5;Envigado;Envigado;Compras
Medellin;6;Medellin;Rionegro;Al Trabajo
Rionegro;6;Rionegro;Medellin;Regreso a casa
Medellin;6;Medellin;Medellin;Otro
Envigado;6;Envigado;Medellin;Almuerzo
Medellin;6;Medellin;Envigado;Al Trabajo
Medellin;6;Medellin;El Retiro;Al Trabajo
El Retiro;6;El Retiro;Medellin;Regreso a casa
Envigado;2;Envigado;Medellin;Compras
Medellin;1;Medellin;Municipios Norte;Recreación
Municipios Norte;1;Municipios Norte;Medellin;Acompañar a alguien
Envigado;5;Envigado;Guatape Peñol;Al Trabajo
Guatape Peñol;5;Guatape Peñol;Envigado;Regreso a casa
Caldas;2;Caldas;Itagui;Estudio
Medellin;3;Medellin;Itagui;Diligencia o trámite
Medellin;3;Medellin;Rionegro;Estudio
Envigado;3;Envigado;Envigado;Almuerzo
Medellin;3;Medellin;Marinilla;Al Trabajo
Marinilla;3;Marinilla;Medellin;Regreso a casa
Medellin;3;Medellin;Envigado;Acompañar a alguien
Medellin;3;Medellin;Bello;Recreación
Medellin;3;Medellin;Municipios Occidente;Recreación
Envigado;5;Envigado;Barbosa;Al Trabajo
Medellin;3;Medellin;Liborina;Recreación
Liborina;3;Liborina;Medellin;Regreso a casa
Medellin;3;Medellin;Bello;Acompañar a alguien
Medellin;2;Medellin;Puerto Berrio;Al Trabajo
Puerto Berrio;2;Puerto Berrio;Medellin;Regreso a casa
Medellin;4;Medellin;Girardota;Salud
Guarne;2;Guarne;Medellin;Otro
Medellin;3;Medellin;Marinilla;Otro
Medellin;1;Medellin;Guatape Peñol;Al Trabajo
Guatape Peñol;1;Guatape Peñol;Medellin;Regreso a casa
Envigado;3;Envigado;Medellin;Compras
Medellin;1;Medellin;El Retiro;Al Trabajo
El Retiro;1;El Retiro;Medellin;Otro
Medellin;2;Medellin;Envigado;Estudio
Medellin;3;Medellin;Barbosa;Al Trabajo
Medellin;3;Medellin;Itagui;Otro
Caldas;2;Caldas;Municipios Occidente;Al Trabajo
Municipios Occidente;2;Municipios Occidente;Caldas;Regreso a casa
Medellin;2;Medellin;Envigado;Salud
Itagui;5;Itagui;Medellin;Recoger o dejar a alguien
Envigado;5;Envigado;Caldas;Estudio
Caldas;5;Caldas;Envigado;Regreso a casa
Caucasia;2;Caucasia;Medellin;Otro
Caucasia;2;Caucasia;Medellin;Acompañar a alguien
Medellin;2;Medellin;Cartagena;Al Trabajo
Medellin;1;Medellin;Monteria;Al Trabajo
Envigado;4;Envigado;La Estrella;Al Trabajo
La Estrella;4;La Estrella;Envigado;Regreso a casa
Envigado;2;Envigado;Copacabana;Al Trabajo
Copacabana;2;Copacabana;Envigado;Regreso a casa
Envigado;2;Envigado;Itagui;Diligencia o trámite
Medellin;1;Medellin;Envigado;Almuerzo
Medellin;3;Medellin;El Retiro;Al Trabajo
El Retiro;3;El Retiro;Medellin;Regreso a casa
Medellin;3;Medellin;Bello;Otro
Medellin;3;Medellin;Amalfi;Al Trabajo
Medellin;3;Medellin;Municipios del Sur;Recreación
Envigado;3;Envigado;Envigado;Acompañar a alguien
Caldas;2;Caldas;Municipios del Sur;Otro
Municipios del Sur;2;Municipios del Sur;Caldas;Regreso a casa
Medellin;2;Medellin;Guadalupe;Al Trabajo
Bello;3;Bello;La Ceja;Al Trabajo
Itagui;3;Itagui;Medellin;Recoger o dejar a alguien
Envigado;4;Envigado;Envigado;Acompañar a alguien
Medellin;1;Medellin;Medellin;Almuerzo
Granada;1;Granada;Medellin;Regreso a casa
Hispania;2;Hispania;Medellin;Al Trabajo
Envigado;3;Envigado;Municipios del Sur;Diligencia o trámite
Municipios del Sur;3;Municipios del Sur;Envigado;Regreso a casa
Envigado;4;Envigado;-;Al Trabajo
Medellin;1;Medellin;Cocorná;Al Trabajo
Cocorná;1;Cocorná;Medellin;Regreso a casa
Medellin;1;Medellin;La Ceja;Diligencia o trámite
La Ceja;1;La Ceja;Medellin;Regreso a casa
Medellin;3;Medellin;La Ceja;Al Trabajo
La Ceja;3;La Ceja;Medellin;Regreso a casa
Medellin;1;Medellin;La Ceja;Al Trabajo
Medellin;1;Medellin;Copacabana;Al Trabajo
Copacabana;1;Copacabana;Medellin;Regreso a casa
Medellin;2;Medellin;Bello;Compras
Itagui;2;Itagui;La Estrella;Recreación
La Estrella;2;La Estrella;Itagui;Regreso a casa
Envigado;3;Envigado;Caldas;Estudio
Caldas;3;Caldas;Envigado;Regreso a casa
Medellin;2;Medellin;Guarne;Acompañar a alguien
La Estrella;3;La Estrella;Envigado;Regreso a casa
Medellin;3;Medellin;Gomez Plata;Al Trabajo
Itagui;2;Itagui;Rionegro;Al Trabajo
Rionegro;2;Rionegro;Itagui;Regreso a casa
Itagui;2;Itagui;La Estrella;Estudio
Itagui;4;Itagui;Itagui;Almuerzo
Itagui;2;Itagui;Medellin;Diligencia o trámite
Medellin;2;Medellin;Bello;Acompañar a alguien
Medellin;2;Medellin;Girardota;Otro
Medellin;5;Medellin;Municipios Oriente;Acompañar a alguien
Municipios Oriente;5;Municipios Oriente;Medellin;Regreso a casa
Medellin;3;Medellin;Girardota;Estudio
Medellin;1;Medellin;Rionegro;Recreación
Medellin;2;Medellin;Caldas;Estudio
Envigado;3;Envigado;Envigado;Salud
Envigado;1;Envigado;Caldas;Al Trabajo
Caldas;1;Caldas;Envigado;Regreso a casa
Itagui;3;Itagui;Medellin;Acompañar a alguien
Itagui;2;Itagui;Itagui;Recoger o dejar a alguien
Itagui;2;Itagui;Sabaneta;Al Trabajo
Sabaneta;2;Sabaneta;Itagui;Regreso a casa
Itagui;2;Itagui;Envigado;Otro
Itagui;3;Itagui;Itagui;Compras
Itagui;3;Itagui;Sabaneta;Compras
Itagui;2;Itagui;Medellin;Compras
Medellin;3;Medellin;Envigado;Estudio
Medellin;3;Medellin;Bello;Salud
Envigado;2;Envigado;Sabaneta;Otro
Medellin;1;Medellin;Bello;Acompañar a alguien
Itagui;3;Itagui;Municipios Occidente;Al Trabajo
Municipios Occidente;3;Municipios Occidente;Itagui;Regreso a casa
Itagui;3;Itagui;Itagui;Recoger o dejar a alguien
Itagui;3;Itagui;Caldas;Al Trabajo
Caldas;3;Caldas;Itagui;Regreso a casa
Itagui;3;Itagui;Rionegro;Al Trabajo
Rionegro;3;Rionegro;Itagui;Regreso a casa
Medellin;1;Medellin;Bello;Estudio
Medellin;1;Medellin;Guarne;Al Trabajo
El Retiro;1;El Retiro;Medellin;Regreso a casa
Caldas;1;Caldas;Envigado;Al Trabajo
Envigado;1;Envigado;Caldas;Regreso a casa
Itagui;3;Itagui;Itagui;Recreación
La Estrella;3;La Estrella;Itagui;Almuerzo
Itagui;2;Itagui;Medellin;Acompañar a alguien
Itagui;2;Itagui;Medellin;Recreación
Itagui;2;Itagui;Itagui;Recreación
Itagui;2;Itagui;Itagui;Acompañar a alguien
Itagui;2;Itagui;Envigado;Estudio
Itagui;4;Itagui;La Estrella;Estudio
La Estrella;4;La Estrella;Itagui;Regreso a casa
Itagui;3;Itagui;Itagui;Acompañar a alguien
Medellin;4;Medellin;Itagui;Recoger o dejar a alguien
Itagui;4;Itagui;Itagui;Estudio
Itagui;4;Itagui;Itagui;Acompañar a alguien
Envigado;4;Envigado;Caldas;Estudio
Caldas;4;Caldas;Envigado;Regreso a casa
Itagui;2;Itagui;Caldas;Al Trabajo
Itagui;2;Itagui;Envigado;Acompañar a alguien
Caldas;3;Caldas;Medellin;Compras
Itagui;4;Itagui;Medellin;Recoger o dejar a alguien
Itagui;3;Itagui;Itagui;Salud
Itagui;1;Itagui;Envigado;Estudio
Itagui;4;Itagui;Medellin;Estudio
Itagui;1;Itagui;Medellin;Diligencia o trámite
Itagui;1;Itagui;Copacabana;Al Trabajo
Copacabana;1;Copacabana;Itagui;Regreso a casa
Copacabana;2;Copacabana;La Estrella;Al Trabajo
Itagui;3;Itagui;Marinilla;Al Trabajo
Marinilla;3;Marinilla;Itagui;Regreso a casa
Itagui;2;Itagui;Envigado;Salud
Itagui;3;Itagui;Santa Rosa de Osos;Al Trabajo
Santa Rosa de Osos;3;Santa Rosa de Osos;Itagui;Regreso a casa
Itagui;1;Itagui;Medellin;Otro
Itagui;1;Itagui;Sabaneta;Al Trabajo
Sabaneta;1;Sabaneta;Itagui;Regreso a casa
Itagui;1;Itagui;Itagui;Recoger o dejar a alguien
Caldas;2;Caldas;Municipios del Sur;Al Trabajo
Itagui;3;Itagui;Municipios Norte;Al Trabajo
Municipios Norte;3;Municipios Norte;Itagui;Regreso a casa
Itagui;3;Itagui;Itagui;Otro
Itagui;2;Itagui;El Retiro;Al Trabajo
El Retiro;2;El Retiro;Itagui;Regreso a casa
Itagui;1;Itagui;Bello;Al Trabajo
Bello;1;Bello;Itagui;Regreso a casa
Itagui;3;Itagui;Guatape Peñol;Al Trabajo
Guatape Peñol;3;Guatape Peñol;Itagui;Regreso a casa
Itagui;2;Itagui;Municipios del Sur;Al Trabajo
Municipios del Sur;2;Municipios del Sur;Itagui;Regreso a casa
Itagui;1;Itagui;La Estrella;Al Trabajo
La Estrella;1;La Estrella;Itagui;Regreso a casa
Itagui;2;Itagui;Copacabana;Estudio
Copacabana;2;Copacabana;Itagui;Regreso a casa
Itagui;2;Itagui;Medellin;Otro
Itagui;3;Itagui;Envigado;Recoger o dejar a alguien
Itagui;3;Itagui;Ituango;Al Trabajo
